VAR_NAME,MIN_VALUE,MAX_VALUE,min_range,max_range,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,bucket,WOE,IV
last_account_opened_months_6,0.0,1.0,0.0,1.0,16,13.0,0.8125,3.0,0.1875,0.02857142857142857,0.0410958904109589,"(-inf, 1.0]",0.36350090900913223,0.317591021737126
last_account_opened_months_6,2.0,2.0,1.0,2.0,21,17.0,0.8095238095238095,4.0,0.19047619047619047,0.03736263736263736,0.0547945205479452,"(1.0, 2.0]",0.3829189948662337,0.317591021737126
last_account_opened_months_6,3.0,3.0,2.0,3.0,13,13.0,1.0,0.0,0.0,0.02857142857142857,0.0,"(2.0, 3.0]",0.0,0.317591021737126
last_account_opened_months_6,4.0,5.0,3.0,5.0,24,21.0,0.875,3.0,0.125,0.046153846153846156,0.0410958904109589,"(3.0, 5.0]",-0.11607217125275414,0.317591021737126
last_account_opened_months_6,6.0,7.0,5.0,7.0,16,12.0,0.75,4.0,0.25,0.026373626373626374,0.0547945205479452,"(5.0, 7.0]",0.7312256891344494,0.317591021737126
last_account_opened_months_6,8.0,8.0,7.0,8.0,14,13.0,0.9285714285714286,1.0,0.07142857142857142,0.02857142857142857,0.0136986301369863,"(7.0, 8.0]",-0.7351113796589775,0.317591021737126
last_account_opened_months_6,9.0,9.0,8.0,9.0,15,11.0,0.7333333333333333,4.0,0.26666666666666666,0.024175824175824177,0.0547945205479452,"(8.0, 9.0]",0.8182370661240792,0.317591021737126
last_account_opened_months_6,10.0,10.0,9.0,10.0,8,5.0,0.625,3.0,0.375,0.01098901098901099,0.0410958904109589,"(9.0, 10.0]",1.3190123540365684,0.317591021737126
last_account_opened_months_6,11.0,11.0,10.0,11.0,10,9.0,0.9,1.0,0.1,0.01978021978021978,0.0136986301369863,"(10.0, 11.0]",-0.3673865995336601,0.317591021737126
last_account_opened_months_6,12.0,15.0,11.0,15.0,14,13.0,0.9285714285714286,1.0,0.07142857142857142,0.02857142857142857,0.0136986301369863,"(11.0, 15.0]",-0.7351113796589775,0.317591021737126
